asset,label,stage,runs,http_200_rate,size_bytes,mean_ttfb_seconds,median_ttfb_seconds,mean_total_seconds,median_total_seconds,mean_transfer_seconds,mean_speed_bytes_per_second
/login,HTML تسجيل الدخول,common,5,1.0,13721,3.1846578,3.074159,3.6579137999999998,3.705122,0.473256,3794.0
/static/login_bg.mp4,فيديو الخلفية السابق,before,5,1.0,930922,2.7397494,2.697695,7.5172712,7.655948,4.777521800000001,125827.6
/static/main_logo_enhanced.png,شعار PNG السابق,before,5,1.0,863952,2.6610566,2.634199,7.5419258000000005,7.584193,4.8808692,115397.0
/static/binzomah_brand_intro.webp?v=3,شعار WebP المتحرك,after,5,1.0,480472,2.7629148,2.790295,5.8096484,6.070814,3.0467336,83659.6
/static/binzomah_brand_transparent.png?v=3,شعار PNG الشفاف,after,5,1.0,262632,2.7640232,2.692503,5.1272738,5.158978,2.3632506,51786.2
/static/css/brand_motion.css?v=5,CSS الحركة,after,5,1.0,8420,2.8018958,2.806718,3.1854649999999998,3.20808,0.3835691999999999,2665.2
/static/js/brand_motion.js?v=3,JavaScript الحركة,after,5,1.0,1408,2.9180614,2.879744,3.1935868,3.199678,0.2755254000000001,441.2
