بيان المركبات الأسبير والمعطلة,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
م,الحالة,رقم اللوحة,الموديل,نوع المركبة,عدد الطبالي,الحمولة,الرقم التسلسلي,تاريخ انتهاء الفحص الدوري,الأيام المتبقية,تاريخ انتهاء رخصة السير,الأيام المتبقية,تاريخ انتهاء بطاقة التشغيل,الأيام المتبقية,الملاحظات
1,فحص,ا س ق 7774,2016,متسوبيشي لوري,8,2,178838410,2025-11-17,-239ي,2026-09-19,67ي,2026-05-17,-58ي,لم يتم تجديد بطاقة التشغيل (فحص دوري- صيانة جهاز التتبع)
2,فحص,ا س ق 7821,2016,متسوبيشي لوري,8,3,787571510,2025-12-02,-224ي,2026-09-26,74ي,2026-05-17,-58ي,لم يتم تجديد بطاقة التشغيل (فحص دوري- صيانة جهاز التتبع)
3,اسبير,أ س ق 7775,2016,متسوبيشي لوري,8,2,490809610,2026-11-22,131ي,2026-09-19,67ي,2026-05-17,-58ي,تحديد بطاقة التشغيل (صيانة جهاز التتبع)
4,معطلة,أ س م 8022,2023,ايسوزو لوري,8,3,978754020,لا يوجد,-,2027-01-11,181ي,2026-04-06,-99ي,ورشة خارجية لم يتم تجهيزها للتأمين (بطاقة التشغيل منتهية وتحتاج إلى فحص دوري)
5,اسبير,ا س ق 7920,2016,متسوبيشي لوري,8,2,621809610,1447-05-16,-,2026-08-25,42ي,2027-05-08,298ي,عطل في المكيف
6,اسبير,ا ر ع 2232,2020,متسوبيشي دينا,4,3,386860810,2027-05-14,304ي,2026-09-10,58ي,2027-05-08,298ي,لا يوجد
